2024/03/05 00:59:26 loading corpus...
2024/03/05 00:59:26 successfully loaded corpus with 0 records...
2024/03/05 00:59:26 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_143483113691b505887ce6a9a4328ca2f17a4425/seeds exists
2024/03/05 00:59:26 Read seed : reproducer_1
2024/03/05 00:59:26 serving http on http://127.0.0.1:56746
2024/03/05 00:59:26 serving rpc on tcp://[::]:35543
2024/03/05 00:59:26 booting test machines...
2024/03/05 00:59:26 wait for the connection from test machine...
2024/03/05 01:00:19 machine check:
2024/03/05 01:00:19 syscalls                : 3931/4501
2024/03/05 01:00:19 code coverage           : enabled
2024/03/05 01:00:19 comparison tracing      : enabled
2024/03/05 01:00:19 extra coverage          : enabled
2024/03/05 01:00:19 delay kcov mmap         : enabled
2024/03/05 01:00:19 setuid sandbox          : enabled
2024/03/05 01:00:19 namespace sandbox       : enabled
2024/03/05 01:00:19 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:00:19 fault injection         : enabled
2024/03/05 01:00:19 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:00:19 net packet injection    : enabled
2024/03/05 01:00:19 net device setup        : enabled
2024/03/05 01:00:19 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:00:19 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:00:19 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:00:19 USB emulation           : enabled
2024/03/05 01:00:19 hci packet injection    : enabled
2024/03/05 01:00:19 wifi device emulation   : enabled
2024/03/05 01:00:19 802.15.4 emulation      : enabled
2024/03/05 01:00:19 swap file               : enabled
2024/03/05 01:00:19 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:00:19 seeds                   : 1/1
2024/03/05 01:20:16 VMs 4, executed 124122, cover 45598, signal 61477/81500, crashes 0, repro 0, triageQLen 0
2024/03/05 01:20:26 VMs 4, executed 124671, cover 45598, signal 61502/81526, crashes 0, repro 0, triageQLen 0
2024/03/05 01:20:36 VMs 4, executed 125293, cover 45598, signal 61502/81546, crashes 0, repro 0, triageQLen 0
2024/03/05 01:20:46 VMs 4, executed 125955, cover 45598, signal 61511/81600, crashes 0, repro 0, triageQLen 0
2024/03/05 01:20:56 VMs 4, executed 126479, cover 45598, signal 61511/81615, crashes 0, repro 0, triageQLen 0
2024/03/05 01:21:06 VMs 4, executed 127282, cover 45601, signal 61523/81655, crashes 0, repro 0, triageQLen 0
2024/03/05 01:21:16 VMs 4, executed 127713, cover 45601, signal 61535/81664, crashes 0, repro 0, triageQLen 0
2024/03/05 01:21:26 VMs 4, executed 128399, cover 45601, signal 61590/81698, crashes 0, repro 0, triageQLen 0
2024/03/05 01:21:36 VMs 4, executed 129211, cover 45601, signal 61600/81724, crashes 0, repro 0, triageQLen 0
2024/03/05 01:21:46 VMs 4, executed 129688, cover 45601, signal 61600/81740, crashes 0, repro 0, triageQLen 0
2024/03/05 01:21:56 VMs 4, executed 130364, cover 45601, signal 61616/81753, crashes 0, repro 0, triageQLen 0
2024/03/05 01:22:06 VMs 4, executed 131182, cover 45601, signal 61616/81791, crashes 0, repro 0, triageQLen 0
2024/03/05 01:22:16 VMs 4, executed 131507, cover 45601, signal 61616/81794, crashes 0, repro 0, triageQLen 0
2024/03/05 01:22:26 VMs 4, executed 132772, cover 46038, signal 62257/81986, crashes 0, repro 0, triageQLen 0
2024/03/05 01:22:36 VMs 4, executed 134171, cover 46160, signal 62604/82192, crashes 0, repro 0, triageQLen 0
2024/03/05 01:22:46 VMs 4, executed 135398, cover 46323, signal 62847/82258, crashes 0, repro 0, triageQLen 0
2024/03/05 01:22:56 VMs 4, executed 136054, cover 46412, signal 62990/82271, crashes 0, repro 0, triageQLen 0
2024/03/05 01:23:06 VMs 4, executed 137877, cover 46528, signal 63198/82388, crashes 0, repro 0, triageQLen 0
2024/03/05 01:23:16 VMs 4, executed 139272, cover 46648, signal 63402/82436, crashes 0, repro 0, triageQLen 0
2024/03/05 01:23:26 VMs 4, executed 140302, cover 46770, signal 63611/82468, crashes 0, repro 0, triageQLen 0
2024/03/05 01:23:36 VMs 4, executed 141409, cover 46844, signal 63732/82511, crashes 0, repro 0, triageQLen 0
2024/03/05 01:23:46 VMs 4, executed 142626, cover 47008, signal 63973/82548, crashes 0, repro 0, triageQLen 0
2024/03/05 01:23:56 VMs 4, executed 143931, cover 47184, signal 64262/82604, crashes 0, repro 0, triageQLen 0
2024/03/05 01:24:06 VMs 4, executed 145345, cover 47282, signal 64460/82649, crashes 0, repro 0, triageQLen 0
2024/03/05 01:24:16 VMs 4, executed 146532, cover 47328, signal 64558/82796, crashes 0, repro 0, triageQLen 0
2024/03/05 01:24:26 VMs 4, executed 147664, cover 47392, signal 64668/85594, crashes 0, repro 0, triageQLen 0
2024/03/05 01:24:36 VMs 4, executed 148761, cover 47535, signal 64740/86289, crashes 0, repro 0, triageQLen 0
2024/03/05 01:24:46 VMs 4, executed 149593, cover 47595, signal 64819/86451, crashes 0, repro 0, triageQLen 0
2024/03/05 01:24:56 VMs 4, executed 150561, cover 47836, signal 65105/86677, crashes 0, repro 0, triageQLen 0
2024/03/05 01:25:06 VMs 4, executed 151341, cover 47931, signal 65235/86682, crashes 0, repro 0, triageQLen 0
2024/03/05 01:25:16 VMs 4, executed 152796, cover 48383, signal 65899/87772, crashes 0, repro 0, triageQLen 0
2024/03/05 01:25:26 VMs 4, executed 153975, cover 48545, signal 66152/87840, crashes 0, repro 0, triageQLen 0
2024/03/05 01:25:36 VMs 4, executed 155380, cover 49234, signal 67045/88513, crashes 0, repro 0, triageQLen 0
2024/03/05 01:25:46 VMs 4, executed 156617, cover 49452, signal 67438/88565, crashes 0, repro 0, triageQLen 0
2024/03/05 01:25:56 VMs 4, executed 157396, cover 49466, signal 67476/89014, crashes 0, repro 0, triageQLen 0
2024/03/05 01:26:06 VMs 4, executed 158112, cover 49466, signal 67480/90376, crashes 0, repro 0, triageQLen 0
2024/03/05 01:26:16 VMs 4, executed 158798, cover 49466, signal 67480/90604, crashes 0, repro 0, triageQLen 0
2024/03/05 01:26:26 VMs 4, executed 159328, cover 49473, signal 67492/90641, crashes 0, repro 0, triageQLen 0
2024/03/05 01:26:36 VMs 4, executed 159994, cover 49475, signal 67498/91535, crashes 0, repro 0, triageQLen 0
2024/03/05 01:26:46 VMs 4, executed 160603, cover 49475, signal 67506/91689, crashes 0, repro 0, triageQLen 0
2024/03/05 01:26:56 VMs 4, executed 161258, cover 49476, signal 67522/91801, crashes 0, repro 0, triageQLen 0
